A.KQT.JT872.J962 K8542.3.A43.Q743 Q9763.A9874.96.8 JT.J652.KQ5.AKT5:77778888656587879999
643.A98.98.JT652 QJT5.T653.QJ2.83 K9.Q42.AT753.K74 A872.KJ7.K64.AQ9:9999AAAA99A988888787
T3.AKT9752.AKJ.J Q94.J6.T6.KQT752 AKJ72.Q3.Q87.964 865.84.95432.A83:60601010101033336666
J.97.KQ875.KT842 6.AQ432.A6432.53 QT87543.J5.T9.Q7 AK92.KT86.J.AJ96:99998888CCCC98998788
T3.Q7432.QJ.Q732 KQJ862.KJ98.87.J 9754.T6.AK42.K65 A.A5.T9653.AT984:AAAABABA888899998788
KT43.96.763.Q742 AQ.AQJ42.94.KT63 982.K87.KQT2.J85 J765.T53.AJ85.A9:AAAA9999BBBBA9A9A9A9
KJ6.KJ7.AK32.876 QT97.T9.Q64.Q542 42.AQ5432.J95.J3 A853.86.T87.AKT9:55558888444444448888
2.KJ832.AT64.QT4 KQT64.7.KJ98.J62 A9873.QT65.Q32.3 J5.A94.75.AK9875:7777888844446666AAAA
K43.654.A64.J763 QT9652.AQT73.T.K AJ.J82.KJ98.QT84 87.K9.Q7532.A952:7777A9A9999976766565
975.QJ92.T7.J874 AJ32.T87.A83.KT2 T64.K53.J952.Q95 KQ8.A64.KQ64.A63:AAAAAAAA9999AAAA9999
763.A6.K42.QJT76 A94.T2.AQ85.K843 KQT8.KJ93.T963.2 J52.Q8754.J7.A95:76767776888777767777
AKQ4.KJ764.86.T9 732.Q5.KQ32.KQ83 86.983.A9754.J65 JT95.AT2.JT.A742:88887777555577778888
KJ93.AJ2.A765.82 QT6542.97.4.9763 A7.T853.T983.J54 8.KQ64.KQJ2.AKQT:77778888777766669999
6.QT87642..87652 Q872.AJ9.AJ986.J KT543.K3.Q72.KQT AJ9.5.KT543.A943:BABAA9AA5555DDDD8787
K85.AKT4.Q97.T72 J62.Q75.K842.J54 AQ743.J32.AJT6.6 T9.986.53.AKQ983:62622222222232327777
QT2.Q9742.97.KJ9 AK75.AJ8.AQJ54.2 J98643.3.K8.T653 .KT65.T632.AQ874:BABB7777AAAACCCC9999
T943.AKJ32.62.65 AK76.Q7.98.QJT84 J82.654.KJT5.K92 Q5.T98.AQ743.A73:98A899A9879799A9BACA
K963.73.QT74.KJ2 AQ872.KJT.KJ85.6 T5.AQ9654.A6.Q84 J4.82.932.AT9753:65657777655488887777
AK6.Q9875.8.Q865 QJT42.AJ643.A.T2 98.K2.KQJ6542.93 753.T.T973.AKJ74:85859999777765658888
K82.Q98542.A52.7 74.K3.763.KQJ984 QJ965.J6.QJT9.T2 AT3.AT7.K84.A653:99995454545465659999
K92.AKJ42.Q9532. AJ6.QT3.K8.J7654 T83.95.AT4.KQ983 Q754.876.J76.AT2:66666566444433336666
AK432.62.KQ74.KT J75.J.T32.J98765 Q96.QT854.65.Q32 T8.AK973.AJ98.A4:54555555666676768787
Q7.AQ6.KJ7.K8743 K9854.JT875.9.J6 AJT6.K942.QT843. 32.3.A652.AQT952:62624444444422227776
AKT.AQ42.J942.J9 875.J3.QT.KT6542 QJ3.K987.AK65.73 9642.T65.873.AQ8:62624444222222226666
854.7.AQ965.K632 T9762.QT86.82.Q4 AK.AK32.K743.JT5 QJ3.J954.JT.A987:32325454545411113333
853.J762.QT8.T95 KJT972.AQ3.KJ.76 Q64.KT4.A92.QJ82 A.985.76543.AK43:9897B9999998B9B99898
762.KQJT5.AJ2.76 AKJ54.642.K3.KJ4 T9.A873.Q854.Q83 Q83.9.T976.AT952:A7A7BBBB55557777BBBB
K862.KT6.AT.8754 5.874.QJ96432.96 QJT43.95.87.QT32 A97.AQJ32.K5.AKJ:87976666BBBBBBBB8787
A76.A52.AK84.J97 K93.KT73.J7.K832 J8.QJ984.T653.Q4 QT542.6.Q92.AT65:77778888555555558888
AT8.AK942.KQJ.94 J97542.8.952.KT5 KQ3.T76.T874.632 6.QJ53.A63.AQJ87:65657676545474748888
96.9742.K982.T94 QJ854.86.QJT3.72 AK72.AQ53.A74.Q6 T3.KJT.65.AKJ853:77777777555566667676
AKQ.J642.KJ97.T5 4.KQT873.T8.Q987 532.A5.A54.J6432 JT9876.9.Q632.AK:55555555777755555555
QT8732.AQ8.54.Q2 A9.96.AK.K987643 KJ654.K742.J93.5 .JT53.QT8762.AJT:DADA44448686DADADBDB
AT.854.J984.9842 QJ52.762.KT6.JT6 K9643.KQ.AQ7.K73 87.AJT93.532.AQ5:77756665777654545564
T983.Q983.83.QJT AJ7.AKT4.QJ7.732 K542.6.K654.K864 Q6.J752.AT92.A95:B9B97777BABAB9B98888
QJ864.KQ3.Q85.J4 AT32.AJT72.A.QT6 95.964.KT74.9753 K7.85.J9632.AK82:BABAA9A9BBBB9999BBBB
983.A54.T92.KT98 654.K7.AQJ5.J532 QJT2.Q983.K76.Q7 AK7.JT62.843.A64:87877777777788888787
76432.Q4.AKJT6.5 JT.JT9.4.KQ97632 K8.A8652.Q9752.J AQ95.K73.83.AT84:B7B7767655654444CBCB
QJ64.T3.J764.873 A52.A98.52.QJ652 T93.QJ52.AK93.T9 K87.K764.QT8.AK4:AAAA8888AAAA7777AAAA
AQ6.A853.AQ52.T3 KT9.QT96.K97.954 J852.KJ72.J643.7 743.4.T8.AKQJ862:88885454444433339999
A3.KJ8753.T8.JT7 JT.QT92.9642.963 K8.A.AKQJ753.K54 Q976542.64..AQ82:22227787324222225454
KQ964.QJ3.JT.T85 .K986.AK976.Q632 853.AT.Q542.KJ74 AJT72.7542.83.A9:66666566989988886666
AT863.QJ52.AK8.7 Q9752.K74.J.J852 KJ4.T93.T7654.KQ .A86.Q932.AT9643:7575555565655555BBBB
843.A.AQT72.KQ52 AKQT95.K765.J95. J62.Q983.84.J964 7.JT42.K63.AT873:88889799A8AA76767577
A865.A4.862.QJ97 KT9.KQJT85.T54.5 QJ72.9632.AJ.T86 43.7.KQ973.AK432:88886666A9A9AAAA8888
AKJ84.AQ9.Q4.K87 52.J83.KT83.Q942 T3.7654.J76.JT63 Q976.KT2.A952.A5:66666666656677776566
AT63.K943.Q65.72 QJ954.A2.AT84.JT 72.876.9732.6543 K8.QJT5.KJ.AKQ98:CCCCCCCCBBBBBBBBCCCC
AK.KT8653.62.QJ5 J7632.Q2.AQ7.876 98.J974.T943.T32 QT54.A.KJ85.AK94:8787BBBB6565A9A9AAAA
QT2.T732.A4.KQ63 K8.AQ986.8732.72 964.54.KQT95.T98 AJ753.KJ.J6.AJ54:88888888A8A966668787
J875.985.AQT9.65 A964.T.J8632.QJ4 3.QJ632.K754.K72 KQT2.AK74..AT983:B9B9CCCC77777787CCCC
QJ65.94.J854.KJ4 A92.J5.AK73.Q852 K84.AKQT72.T96.6 T73.863.Q2.AT973:65656666555566669999
842..QT9542.QJ63 AJ5.KJ83.A7.K852 Q76.AQT96.KJ86.4 KT93.7542.3.AT97:87878888999954559999
KT.964.J83.QT653 QJ43.72.QT762.82 98765.AJ5.AK4.J9 A2.KQT83.95.AK74:77877787778788886666
QJ3.J865.AK53.K2 KT97.T432.76.J75 A642.KQ9.JT92.84 85.A7.Q84.AQT963:63634444434333337777
AT86.5432.6532.K KQ4.KJT6.987.865 J532.98.KT4.QJT9 97.AQ7.AQJ.A7432:AAAA8888AAAAAAAA9999
J952.75.K2.K9863 QT86.T4.JT98.742 K7.QJ986.AQ65.Q5 A43.AK32.743.AJT:76767676555576766565
J653.T92.K973.Q8 AQT42.Q64.A2.K54 87.AJ75.T864.972 K9.K83.QJ5.AJT63:CCCCCCCCAAAA8888DCCC
AJ3.AJ764.Q3.T87 Q95.K92.KJT95.94 T87.T853.A764.J3 K642.Q.82.AKQ652:A7A798986666A898AAAA
Q98.J84.865.7642 A632.AT973.A4.KQ KJ74.5.KJ932.T85 T5.KQ62.QT7.AJ93:CBCBA9A9CCCC8887CBCB
543.AQ.Q74.QJT74 T976.K8653.JT52. AQJ.T94.863.K532 K82.J72.AK9.A986:66668888999999995555
963.952.53.KJ653 QJ4.QJ6.KQJ98.98 KT72.KT87.AT7.Q7 A85.A43.642.AT42:99997777777799997676
JT9.J.J952.KT982 85.T8752.A74.Q63 AQ632.AQ64.K63.4 K74.K93.QT8.AJ75:66665454777755557676
QT9653.KJT.85.T2 J82.87653.T6.987 K74.Q92.J73.K653 A.A4.AKQ942.AQJ4:B9B966769999BBBBBABA
T97.A9.AJT5.KQJ4 QJ32.K6.K872.853 AK65.QJT2.Q96.96 84.87543.43.AT72:33333233444433334444
A85.T53.AQ6.K932 T63.AK7.J543.J86 KQ97.QJ8.K97.QT5 J42.9642.T82.A74:43433333444444443333
T8762.AK9.Q53.J9 K94.QJT42.2.KT64 AJ53.63.JT987.53 Q.875.AK64.AQ872:88886666AAAA6666A9A9
AKQ8.AK.KQ2.Q876 3.T97.AJ853.KT94 6542.Q32.T6.J532 JT97.J8654.974.A:66664444777786864444
QJ954.83.9543.J9 AK2.KQJ.QJ76.Q76 86.AT762.AK.T542 T73.954.T82.AK83:A8A8767688889898AAAA
QJ973.QJ87.A4.J8 86542.952.K92.K6 AT.K43.QJT765.Q3 K.AT6.83.AT97542:87874444545444449999
AQ76.Q872.76.KJT JT52.4.QJT942.82 84.AKJT53.K83.Q9 K93.96.A5.A76543:33335555333387877576
QT72.AKQ95.Q6.65 AKJ43.76.KJ87.J2 5.84.AT542.KQT93 986.JT32.93.A874:54547777544444444343
KT8.KJ3.Q642.J83 95.T92.KT875.974 AJ74.A87.A.QT652 Q632.Q654.J93.AK:55553333545466663232
J5.KJT.KJ82.K632 AQ2.Q874.93.J854 K876.A9.AQT74.QT T943.6532.65.A97:43434444555522223333
A9.AT987.A32.732 2.632.J974.KQT65 KQ764.K5.KQ65.94 JT853.QJ4.T8.AJ8:55554444444444447676
KT853.Q3.K53.J87 Q.AK982.J72.T652 A7642.J76.T96.Q9 J9.T54.AQ84.AK43:77776666999999999999
K752.K7654.J9.84 AQ6.QJ98.KQ8.J95 983.T3.AT7653.Q7 JT4.A2.42.AKT632:BBBBA9A9A9A97777BBBB
832.T.KQT93.KQJ7 J74.Q985.J742.95 AKQT965.4.65.863 .AKJ7632.A8.AT42:96963333BBBB65665555
AKT852.K3.64.Q96 J94.A962.K2.T752 Q.QJT84.AQT97.K4 763.75.J853.AJ83:33433232333343435555
65.2.JT82.J87632 JT2.AT8.AQ74.Q95 9843.KQ97.93.KT4 AKQ7.J6543.K65.A:AAAABABABBBBAAAA7777
AK96.T2.JT.75432 QT3.K8653.962.K6 J52.Q74.AK8.JT98 874.AJ9.Q7543.AQ:87876666989899995555
932.86.AKT3.KQ82 KT76.AT743.J5.53 A854.KQ95.942.76 QJ.J2.Q876.AJT94:55556666666666667676
8754.Q84.83.5432 AQT3.T3.JT9.QT97 K92.K972.AK54.J8 J6.AJ65.Q762.AK6:99998888777799999898
QT543.QT9.3.T984 K.AJ86.QJ75.J753 J87.7532.A2.KQ62 A962.K4.KT9864.A:CACA8888CACACCCC8787
K3.KT97643.985.Q QJ4.A.AKT7.K7642 987652.QJ82.J32. AT.5.Q64.AJT9853:DDDD77775555DDDCDDDD
T43.T7.J843.QJ86 862.AQJ543.A6.74 Q975.K962.KQ.K52 AKJ.8.T9752.AT93:87878888999998988888
8.QJ53.AQ98654.3 965.A94.KT.KQ942 AKJ73.62.72.J875 QT42.KT87.J3.AT6:989899998888545499A9
AJT642.J54.K83.J 97.872.AQ52.T873 K53.AKQT3.T64.54 Q8.96.J97.AKQ962:82823232323287878888
4.J8765.86.K9753 96.T43.9742.QT84 QJ8753.A9.QJT5.6 AKT2.KQ2.AK3.AJ2:99997777778799998898
AQ4.7.KT98.K9765 92.AQT9654.5.QT8 T7.KJ832.AQ.J432 KJ8653..J76432.A:33337777666666663333
Q4.J8762.JT8.976 JT9765.AT3.63.32 AK83.Q94.K974.K8 2.K5.AQ52.AQJT54:99A999A977878898BBBB
Q63.K92.QJ42.KJT .QJ874.AK65.Q732 AKJ87.3.9873.864 T9542.AT65.T.A95:77776666BBBB76669999
K9765.J76.Q32.Q2 AT.K9853.J85.KT7 J832.AQT42.64.96 Q4..AKT97.AJ8543:AAAA76767777CCCCCCCC
QT63.T542.AQ9.Q9 K4.AKQ8.J87.J762 A975.7.KT3.KT854 J82.J963.6542.A3:66663333767665655555
T8543.852.Q.JT43 AQ9.A93.A954.965 KJ.KJT76.K832.87 762.Q4.JT76.AKQ2:AAA988888787AAAA9999
T5.J65.KQ95.JT82 KQ432.QT.T72.KQ7 AJ6.873.J43.9654 987.AK942.A86.A3:AAAABABAAAAA88888888
KQ82.K87.AQ9.754 JT9543..J863.T93 A6.AQ632.K.QJ862 7.JT954.T7542.AK:22227565444485754343
J85.KQ852.AJT5.Q K4.A4.K643.JT862 Q9732.7.Q987.K53 AT6.JT963.2.A974:8888666688886666AAAA
AJ93.QJ862.A.J43 K764.AK74.KJT9.2 52.T9.653.QT9876 QT8.53.Q8742.AK5:A8A899998788BABA6565
AQT.AKT84.T986.K J6.J97653.A5.QT6 K974.Q.KQ72.J985 8532.2.J43.A7432:33333333555532326666
9762.732.AT9.T97 AJT53.6.Q542.Q43 84.JT.KJ76.KJ852 KQ.AKQ9854.83.A6:D9D9DBDBDBDB88886665
7642.AJ63.AKJ72. AK8.97.T953.KJ86 QJ95.K5.Q4.QT952 T3.QT842.86.A743:44443222555543437777
K6.875.J842.KQJ2 A53.T963.T976.54 QJ9874.AQ4.A3.T9 T2.KJ2.KQ5.A8763:44544454777776766666
QJT96.QJT.T983.6 A854.A2.KQ2.JT84 K32.K98763.7.KQ2 7.54.AJ654.A9753:B8B865656565BBBBCBCB
6.K.KT742.KJ9852 Q953.J852.Q65.Q7 KJ742.T64.AJ.T43 AT8.AQ973.983.A6:87977777989833333333
652.AQT7.QJ75.Q2 T873.63.K8642.85 A4.J98542.T3.963 KQJ9.K.A9.AKJT74:8686BBBB55559999BBBB
J854.A4.KJ3.KQ83 3.QT75.T764.T972 AT72.9863.AQ.J64 KQ96.KJ2.9852.A5:55554444666666765455
Q963.Q73.KJ4.Q54 74.AJ92.AQT98.73 J85.T85.532.J982 AKT2.K64.76.AKT6:DDDDBBBBDDDDDDDDBBBB
AJ.KQJ74.QJT4.QT 98763.953.A852.8 K42.82.97.J97432 QT5.AT6.K63.AK65:55558888757676765555
AQ865.T5.9875.82 T2.K84.A64.KQ765 KJ97.AQ2.T32.T94 43.J9763.KQJ.AJ3:86865555999977779898
A8642.AT6.2.KQT9 JT973.54.AJT.543 KQ.KQ2.K9764.862 5.J9873.Q853.AJ7:33334444555544443333
K85.AKQ98.QJ.J62 T6.T764.98.KQ875 AQ74.J32.AT532.4 J932.5.K764.AT93:54543333222232328787
.KQ87.K72.JT9763 Q87653.32.JT3.82 KJT2.A96.AQ54.54 A94.JT54.986.AKQ:44446666434333333333
AT876.2.7.KJT975 K5.985.QJT94.Q82 Q432.764.8632.63 J9.AKQJT3.AK5.A4:CCCC6464CCCCCCCC5555
KQ6.Q52.Q.KT8764 T542.7.A73.QJ932 J873.T94.KT9842. A9.AKJ863.J65.A5:98988787999876769999
A953.Q2.AJ8753.8 842.AJ9763.64.Q6 K76.T85.92.KT742 QJT.K4.KQT.AJ953:99A96576AAAA65668898
642.AJ8632.76.J5 QJ85..AQT9.K9742 AT3.KQT94.KJ52.6 K97.75.843.AQT83:6666999943438888BBBB
84.J754.AJ6.7543 Q732.Q862.952.KQ AKJ6.AT.QT84.J62 T95.K93.K73.AT98:55555555555555555555
852.J97543.A9.73 AQ.6.Q764.KQ9864 J9764.KT2.KJT3.T KT3.AQ8.852.AJ52:BABA777766669999BABA
QJ432.8.KJ74.532 AT97.942.92.KQT6 865.K7653.AQT65. K.AQJT.83.AJ9874:C8C8555588884444CBCB
J8.KQ742.T86.J32 AQ765.98.AK93.T4 KT3.AT653.Q74.75 942.J.J52.AKQ986:9898AAA95555AAA9AAAA
6.JT87.632.K8432 9.Q953.J9874.965 AQ84.K642.AQ5.JT KJT7532.A.KT.AQ7:76768898445477775565
J873.QJ.KT6.9753 KT642.95.A83.QJT A9.AK7632.974.42 Q5.T84.QJ52.AK86:66669999555588889999
KQ863.AKJ65.A6.T A9.T74.QJ542.K92 J542.Q.K83.87643 T7.9832.T97.AQJ5:55552222323276766565
742.3.Q98.KQ8643 A3.A875.AJ743.95 KJ965.J42.KT.JT7 QT8.KQT96.652.A2:98987676AAAAA9A95555
QJ.74.AJT532.Q97 AKT9.AT53.84.KJ2 43.KQ98.K976.654 87652.J62.Q.AT83:A797BAAA99996666AAAA
AK.A9632.A9.KQ64 JT9854.87.Q32.97 Q32.QJT54.JT65.T 76.K.K874.AJ8532:33336666111144446666
J4.JT9876.T85.83 8653.Q2.932.Q742 Q972.543.J4.K965 AKT.AK.AKQ76.AJT:CCCCBBBB8898CCCCBBCB
632.J62.T985.KJT AKT.K8.A6432.Q86 J985.Q7543.Q.973 Q74.AT9.KJ7.A542:BBBBBABA9999BBBBCBCB
74.432.9864.QT43 9862.A75.Q2.K965 53.QJ98.KT53.J87 AKQJT.KT6.AJ7.A2:CCCBCCCCBBBA9999BBBB
KQ74.543.KQT76.5 T83.T.J932.K9762 9.KJ98762.84.JT8 AJ652.AQ.A5.AQ43:B9B9AAAA65658788BBBB
5.K64.AKJT42.JT2 964.AQJ953.Q876. QJT72.T72.5.KQ86 AK83.8.93.A97543:76669898999986868777
96.AKT43.J4.9852 K7.92.QT732.J743 QJ5432.6.95.KQT6 AT8.QJ875.AK86.A:888876768888BBBB7676
976.KJ876.QJ.532 AQ843.Q5.8.K9876 KT.T9432.AK942.J J52.A.T7653.AQT4:9797BBBB43436666BBBB
KT5.QT542.AT93.5 QJ86.73.Q8764.QJ A9.AJ6.J52.98743 7432.K98.K.AKT62:66668888434355557777
K43.7.A98765.Q93 AJ92.AT4.K42.KJ6 QT6.98653.Q3.T74 875.KQJ2.JT.A852:AAAAA9A9AAAA6666AAAA
A52.J93.8743.Q63 QJ84.A65.KQJ.T98 K73.T72.A96.KJ42 T96.KQ84.T52.A75:77778888888877777777
Q3.QJ765.A53.Q94 T862.A9832.92.76 J54.T4.J8764.K53 AK97.K.KQT.AJT82:88A8BABA9898778799A9
QJT.AT.KT982.K84 K842.7.AQJ3.7653 A5.KQ95432.65.J9 9763.J86.74.AQT2:43338888333365658888
3.986.KQJT53.865 Q975.K4.8642.J42 AKJT62.A3.97.KQT 84.QJT752.A.A973:74744343878732327676
KT2.AQ8.A973.943 A.KJ6542.QJ2.K86 Q863.93.K65.QT72 J9754.T7.T84.AJ5:98987777A9A977777676
T87.J8.J98763.92 AJ93.A3.T5.J8543 Q642.Q96542.K4.T K5.KT7.AQ2.AKQ76:DDDDCCCC99999999DDDD
AQ963..QJ874.QJ5 K852.A43.T932.63 J7.J975.A.KT9742 T4.KQT862.K65.A8:97975454999965653232
JT6543.AK5.Q4.J4 AQ872.QJ6.K75.97 .T.JT9832.KQT865 K9.987432.A6.A32:AAAA9999AAAA44444343
J872.83.652.KQ83 A43.QJ42.KJ8.T52 KQ65.AK96.Q74.76 T9.T75.AT93.AJ94:76765555888887877777
J932.Q98.42.QT63 .AKJ7.KQ753.9872 AKT7.T52.JT6.K54 Q8654.643.A98.AJ:AAAA8888BBBBBBBB9898
KT7.82.765.KQJ32 AQ932.4.AQT9.765 84.AQT976.K43.98 J65.KJ53.J82.AT4:AAAAAAAA7777AAAA7777
AKQ.A2.AKT65.T42 865.KT653.Q.9765 T73.QJ984.J2.J83 J942.7.98743.AKQ:54546565555555556565
A92.AQ8742.K5.63 KQT4.95.87632.84 J76.KJT.JT94.QJT 853.63.AQ.AK9752:53536666534377778888
Q854.T43.KQJ4.98 A63.K865.65.J764 972.QJ72.32.T532 KJT.A9.AT987.AKQ:BABA9999AAAAAAAABBBB
43.T953.4.KQJ632 A62.8742.AQ972.4 KQ975.J.KJ83.T87 JT8.AKQ6.T65.A95:77768787999999996564
K.K92.Q983.QJT64 JT9543.A743.54.7 AQ76.QT85.KJT.85 82.J6.A762.AK932:44448787555554545454
98.AT82.AQ32.Q75 Q42.65.KT98.T642 AKJT65.K43.76.J3 73.QJ97.J54.AK98:43333333434365657676
972.AK7.8654.Q63 Q3.T63.AKQT9732. AKJ.J985.J.J7542 T8654.Q42..AKT98:558576667666A8885565
QT9.AQ54.JT5.K32 AJ2.T8.KQ87432.5 87643.J76.A9.J87 K5.K932.6.AQT964:88986666989899999999
J632.J42.982.QT7 Q8.KT9653.T7543. AT94.AQ.QJ.K8652 K75.87.AK6.AJ943:77776565AAAAAAAA5555
KJ42.J4.Q9652.T3 A9.T762.A84.K752 T873.853.JT7.864 Q65.AKQ9.K3.AQJ9:BBBB9899CCCC9899CCCC
A4.9875.KJ76.963 J962.T2.Q94.K854 T8753.A43.53.QJ7 KQ.KQJ6.AT82.AT2:99998888999999999999
AK8752.A72.J.KJ7 963.KJ9.KQ8742.5 QJT4.63.A953.942 .QT854.T6.AQT863:53533232A8A887878787
KQJ2.6.T9542.763 983.AQ73.A73.Q92 A654.KT9854.K.K5 T7.J2.QJ86.AJT84:9999666566668888AAAA
AQ73.T964.5.KQ54 642.A83.AT9874.3 85.QJ5.KQJ3.T876 KJT9.K72.62.AJ92:66668788767677775455
KQT4.J.J982.T976 AJ5.AQ2.AT7.5432 9732.97653.65.KJ 86.KT84.KQ43.AQ8:CCCC9999BBBBCCCCAAAA
J865.73.KJT75.62 AQ7.AKQ2.A64.J83 932.T984.Q8.KT97 KT4.J65.932.AQ54:AAAA9999AAAA8888AAAA
T43.AJ72.Q65.K53 K87.84.AT43.JT64 AQ952.Q96.982.72 J6.KT53.KJ7.AQ98:76765555666687888888
QJ543.K43.854.T2 KT87.T.A7.KJ9765 2.AJ987652.T32.3 A96.Q.KQJ96.AQ84:D5D5BABA5555DCDCDCDC
K.JT74.KQ7643.83 Q2.KQ52.J.KQT542 AT87.863.T85.J96 J96543.A9.A92.A7:AAAAAAAAAAAA6666BBBB
8752.T754.854.65 J.KQ32.AK9762.92 AKT.A986.T.Q8743 Q9643.J.QJ3.AKJT:AAAA98988787CBCB9999
T8.Q764.8542.Q73 J94.KJ3.T73.KT62 K752.85.AKJ9.854 AQ63.AT92.Q6.AJ9:B9B9AAAABABA8888BBBB
T97642.Q96.54.87 AJ.T4.QJ9873.T93 Q853.A82.AT62.K4 K.KJ753.K.AQJ652:99A95565AAAA99A9BBBB
KT74.KQT8642.K.8 A8653.J.9852.JT6 Q92..AQ643.K7432 J.A9753.JT7.AQ95:66666464545476766666
AQT54.632.A.K843 J876.K94.Q7.Q652 K.QJT85.K942.JT7 932.A7.JT8653.A9:75756565434377775555
Q84.985.AJ76.T85 K763.KQ3.KQT5.K3 T95.T6.942.J7642 AJ2.AJ742.83.AQ9:CCCCBBBBCCCCBBBBAAAA
Q8.KT863.A953.84 J96.4.KJ87.Q9762 T7542.J952.42.T3 AK3.AQ7.QT6.AKJ5:CBCC99997777CBCCCCCC
K9.AJ74.QJ52.Q64 T543.65.T97.KJ73 AQJ6.982.643.982 872.KQT3.AK8.AT5:77777777767677777777
A8754.973.53.KQ5 6.KJT65.K94.J976 KQ93.8.J8762.T83 JT2.AQ42.AQT.A42:98984444AAAA7777A9A9
J8.KJ4.JT852.J83 Q42.532.K94.KQT4 T96.97.AQ76.7652 AK753.AQT86.3.A9:AAA8BBBABABA6666AAAA
42.J8542.T642.83 K9.AK7.KJ3.Q9742 QJ863.T3.AQ97.J5 AT75.Q96.85.AKT6:BBBBAAA988888888BBBB
963.QT2.A85.KT84 AJT72.K84.KQJ6.J K84.A9653.432.93 Q5.J7.T97.AQ7652:76779898666699998888
653.T742.J96.Q42 AQT7.J53.A8752.5 KJ8.9.QT43.J9876 942.AKQ86.K.AKT3:BBBBBBBBCCCCAAA99898
KQJ.J5.Q7.QT8652 985.QT864.A432.4 A32.K97.J98.K973 T764.A32.KT65.AJ:74747777888888884444
95.A8753.Q653.Q7 J8632.T2.T4.T853 KQT4.J64.J97.K96 A7.KQ9.AK82.AJ42:77768888767677779999
72.K843.A7.QJT86 Q63.2.K96432.974 K8.AQT965.Q5.K52 AJT954.J7.JT8.A3:6272BABA4242BABA4242
J2.Q9.J862.QJT62 AKQ743.KT2.7.K73 86.J843.AQ9543.8 T95.A765.KT.A954:BBBBBBBBBBBB66669999
9.QJ875.KQ42.K62 Q7543.AT2.T3.J83 AK8.K3.A765.T954 JT62.964.J98.AQ7:32326666222222223333
Q76.94.AQJ654.43 3.AKQ7632.K982.7 AKJ985.T8.3.KQT9 T42.J5.T7.AJ8652:86864343AAAA66666666
AKQ8654.Q6.K62.T 72.J743.87.Q7643 J3.AK9.AQT94.J85 T9.T852.J53.AK92:50501010656510106666
KJ3.J4.Q642.K976 AQ8642.AQ3.J98.8 T75.K9876.K7.QT2 9.T52.AT53.AJ543:9888AAAA888899998888
Q6543.J98.987.85 JT.K3.KJ65.KJ763 87.T642.AQ2.QT92 AK92.AQ75.T43.A4:AAAA9999AAAAAAAAAAAA
K8654.94.Q93.843 Q72.K63.AT6.KQT5 AT93.AJ87.K5.J97 J.QT52.J8742.A62:767655558888A9A98888
